node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
TENT4A,1.0,0.0,1.0,1.0,6.43,1.0,0.2,7.35,3.86364,0.0,0.0,0.0,
SFSWAP,4.0,0.30779,2.0,4.0,12.972,2.0,0.25,11.08333,4.90909,20.9,50.0,0.33333,
RECK,1.0,0.0,1.0,1.0,5.971,1.0,0.16667,6.96667,3.59091,0.0,0.0,0.0,
HBP1,3.0,0.0,1.0,3.0,11.138,2.0,0.2,9.9,4.54545,42.66667,92.0,0.0,
NOP16,3.0,0.30779,2.0,3.0,11.993,1.0,0.2,9.6,4.40909,7.06667,18.0,0.33333,
DAPK2,6.0,0.46346,3.0,3.0,13.152,1.0,0.2,10.15,4.63636,0.0,0.0,1.0,
MAP1LC3B,12.0,0.32413,5.0,7.0,14.872,8.0,0.25,13.33333,5.27273,94.93333,234.0,0.2381,
UTP6,4.0,0.30779,2.0,4.0,12.283,2.0,0.25,10.75,4.81818,50.25,102.0,0.16667,
MBD1,3.0,0.30779,2.0,3.0,12.165,6.0,0.25,10.91667,5.0,24.66667,62.0,0.33333,
DAP3,6.0,0.30779,2.0,6.0,14.66,7.0,0.33333,13.5,5.45455,139.5,344.0,0.06667,
ERICH1,1.0,0.0,1.0,1.0,6.704,1.0,0.2,7.95,4.18182,0.0,0.0,0.0,
PTMA,4.0,0.0,1.0,4.0,13.486,4.0,0.25,11.5,5.04545,34.0,86.0,0.0,
PFDN5,4.0,0.0,1.0,4.0,13.587,10.0,0.25,11.91667,5.18182,54.26667,154.0,0.0,
SEC22B,3.0,0.30779,2.0,3.0,13.046,1.0,0.2,9.9,4.54545,2.33333,8.0,0.33333,
TUBA8,12.0,0.32413,5.0,7.0,14.872,5.0,0.25,13.33333,5.27273,68.26667,172.0,0.28571,
CAPZA1,4.0,0.0,1.0,4.0,13.351,1.0,0.25,10.91667,4.86364,14.63333,44.0,0.0,
RAB2A,11.0,0.32413,5.0,6.0,14.631,1.0,0.2,11.98333,4.86364,18.3,50.0,0.33333,
EIF3D,4.0,0.0,1.0,4.0,13.525,1.0,0.25,11.08333,4.90909,29.58333,104.0,0.0,
ACTN1,4.0,0.30779,2.0,4.0,13.647,1.0,0.2,10.9,4.72727,14.83333,36.0,0.16667,
SLC25A14,1.0,0.0,1.0,1.0,4.537,1.0,0.16667,6.65,3.40909,0.0,0.0,0.0,
CDYL,5.0,0.0,1.0,5.0,13.068,5.0,0.25,12.08333,5.13636,157.8,354.0,0.0,
SCD5,1.0,0.0,1.0,1.0,4.421,1.0,0.16667,6.65,3.40909,0.0,0.0,0.0,
ACLY,3.0,0.0,1.0,3.0,7.641,3.0,0.2,9.28333,4.36364,82.0,174.0,0.0,
